level_de,mean_score_mod_p3
100,23.931
101,22.1
102,23.368
103,23.795
104,25.637
105,23.068
106,24.358
107,24.321
108,23.259
109,25.01
110,23.641
111,23.963
112,24.804
113,25.115
114,22.705
115,24.327
116,25.681
117,24.791
118,25.519
119,24.611
120,25.71
121,23.992
122,24.76
123,25.143
124,26.526
125,25.045
126,25.42
127,25.885
128,25.896
129,24.492
130,25.384
131,25.39
132,23.794
133,26.609
134,25.807
135,25.368
136,26.263
137,24.347
138,26.642
139,25.475
140,25.838
141,24.776
142,27.213
143,25.709
144,25.961
145,26.649
146,26.242
147,26.486
148,26.078
149,25.939
150,25.385
151,26.385
152,27.342
153,28.16
154,26.368
155,27.553
156,27.257
157,26.356
158,27.306
159,27.743
160,26.963
161,26.874
162,26.068
163,26.651
164,27.046
165,25.863
166,29.177
167,26.348
168,25.536
169,27.835
170,28.872
171,27.705
172,27.031
173,27.418
174,29.523
175,27.981
176,27.317
177,27.814
178,30.026
179,30.892
180,27.495
181,28.957
182,29.812
183,27.712
184,27.583
185,27.007
186,29.411
187,29.863
188,29.049
189,27.13
190,29.014
191,28.413
192,27.56
193,27.72
194,30.367
195,28.629
196,27.499
197,30.86
198,27.349
199,28.318
200,28.962
201,29.859
202,31.832
203,29.933
204,30.171
205,30.641
206,29.434
207,29.013
208,29.946
209,28.502
210,29.014
211,30.672
212,29.473
213,29.345
214,30.856
215,29.115
216,29.584
217,31.313
218,28.393
219,28.257
220,27.984
221,29.064
222,26.336
223,29.854
224,29.102
225,29.329
226,30.679
227,31.089
228,30.105
229,30.338
230,32.724
231,29.776
232,32.117
233,31.581
234,29.011
235,30.73
236,30.186
237,29.742
238,32.317
239,29.812
240,30.052
241,31.301
242,31.67
243,29.1
244,31.369
245,34.047
246,32.461
247,32.375
248,31.521
249,30.517
250,33.508
251,30.786
252,29.83
253,31.385
254,32.209
255,29.897
256,30.981
257,30.603
258,30.607
259,30.955
260,30.001
261,30.885
262,33.519
263,33.032
264,32.176
265,31.114
266,33.064
267,30.555
268,30.917
269,31.97
270,29.835
271,31.288
272,31.705
273,32.981
274,33.327
275,33.195
276,31.141
277,33.238
278,31.516
279,31.467
280,32.521
281,32.362
282,32.921
283,35.109
284,32.627
285,32.074
286,32.044
287,33.832
288,32.607
289,33.956
290,33.836
291,31.456
292,34.292
293,32.205
294,31.346
295,33.593
296,34.275
297,34.106
298,29.739
299,33.698
300,32.471
